titulo,descricao,link,fonte,data_publicacao,fim_inscricao,situacao,valor,programa,acao,tipo_recurso,extras
Regulamento,Regulamento,https://www.caixa.gov.br/sustentabilidade/fundo-socioambiental-caixa/chamadas-abertas/Documents/Regulamento_Agua_Cidades_Chamada_002_2026.pdf,CAIXA,,,Em andamento,,produtos_caixa,credito,subvencao,"{'pais': 'Brasil', 'regiao': 'brasil', 'orgao_responsavel': 'CAIXA', 'instituicao': 'Caixa Econômica Federal', 'orgao_contratante': 'CAIXA', 'tipo_oportunidade': 'linha_credito', 'tipo_recurso': 'subvencao', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False, 'publico_alvo': 'empresas e entes públicos', 'setor_estrategico': 'credito_publico', 'subtema': ['credito', 'financiamento', 'fundos'], 'area_cientifica': [], 'area_tecnologica': ['infraestrutura', 'habitacao', 'saneamento', 'energia'], 'documentos': [{'nome': 'Regulamento', 'url': 'https://www.caixa.gov.br/sustentabilidade/fundo-socioambiental-caixa/chamadas-abertas/Documents/Regulamento_Agua_Cidades_Chamada_002_2026.pdf'}], 'pdf_url': 'https://www.caixa.gov.br/sustentabilidade/fundo-socioambiental-caixa/chamadas-abertas/Documents/Regulamento_Agua_Cidades_Chamada_002_2026.pdf', 'pdf_texto_extraido': '', 'pdf_resumo': '', 'valor_total': '', 'url_listagem': 'https://www.caixa.gov.br/sustentabilidade/fundo-socioambiental-caixa/chamadas-abertas/Paginas/default.aspx', 'url_detalhe': 'https://www.caixa.gov.br/sustentabilidade/fundo-socioambiental-caixa/chamadas-abertas/Documents/Regulamento_Agua_Cidades_Chamada_002_2026.pdf', 'metodo_extracao': 'pdf_link_curated', 'nivel_sensibilidade': 'publico_institucional'}"
Regulamento,Regulamento,https://www.caixa.gov.br/sustentabilidade/fundo-socioambiental-caixa/PublishingImages/chamadas/Chamada_001_2026_Cidadania_Financeira_versao-02.pdf,CAIXA,,,Em andamento,,produtos_caixa,credito,subvencao,"{'pais': 'Brasil', 'regiao': 'brasil', 'orgao_responsavel': 'CAIXA', 'instituicao': 'Caixa Econômica Federal', 'orgao_contratante': 'CAIXA', 'tipo_oportunidade': 'linha_credito', 'tipo_recurso': 'subvencao', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False, 'publico_alvo': 'empresas e entes públicos', 'setor_estrategico': 'credito_publico', 'subtema': ['credito', 'financiamento', 'fundos'], 'area_cientifica': [], 'area_tecnologica': ['infraestrutura', 'habitacao', 'saneamento', 'energia'], 'documentos': [{'nome': 'Regulamento', 'url': 'https://www.caixa.gov.br/sustentabilidade/fundo-socioambiental-caixa/PublishingImages/chamadas/Chamada_001_2026_Cidadania_Financeira_versao-02.pdf'}], 'pdf_url': 'https://www.caixa.gov.br/sustentabilidade/fundo-socioambiental-caixa/PublishingImages/chamadas/Chamada_001_2026_Cidadania_Financeira_versao-02.pdf', 'pdf_texto_extraido': '', 'pdf_resumo': '', 'valor_total': '', 'url_listagem': 'https://www.caixa.gov.br/sustentabilidade/fundo-socioambiental-caixa/chamadas-abertas/Paginas/default.aspx', 'url_detalhe': 'https://www.caixa.gov.br/sustentabilidade/fundo-socioambiental-caixa/PublishingImages/chamadas/Chamada_001_2026_Cidadania_Financeira_versao-02.pdf', 'metodo_extracao': 'pdf_link_curated', 'nivel_sensibilidade': 'publico_institucional'}"
