titulo,numero_edital,url_pagina,pdf_url,situacao,data_publicacao,prazo_envio,objetivo,descricao,anexos
EDITAL FAPERGS 04/2026 - PROBIC/PROBITI (Edição 2026 - 2028) - FAPERGS - Fundação de Amparo à pesquisa do Estado do RS,04/2026,https://fapergs.rs.gov.br/edital-fapergs-04-2026-probic-probiti-edicao-2026-2028,https://fapergs.rs.gov.br/upload/arquivos/202604/01085814-edital-04-2026-probic-probiti-2026.pdf,Aberto,,2026-06-15,"de ampliar o acesso de pessoas de baixa renda, negros, indígenas, pessoas com deficiência e outros grupos minori tários às universidades, buscando reduzir desigualdades sociais. Também serão considerados elegíveis, no âmbito das modalidades de bolsas BIC-AF e BITI -AF, estudantes negros (pretos e pardos), indígenas e quilombolas que não tenham ingressado na graduação por meio de ações afirmativas, desde que comprovem sua condição por meio de autodeclaração.",EDITAL FAPERGS 04/2026 - PROBIC/PROBITI (Edição 2026 - 2028) - FAPERGS - Fundação de Amparo à pesquisa do Estado do RS,"[{""nome"": ""Edital 04/2026 - PROBIC/PROBITI 2026 (.pdf 335,72 KBytes)"", ""url"": ""https://fapergs.rs.gov.br/upload/arquivos/202604/01085814-edital-04-2026-probic-probiti-2026.pdf""}, {""nome"": ""ANEXO I - FORMULÁRIO INSTITUCIONAL - PROBIC/PROBITI 2026-2028 (.xlsx 35,18 KBytes)"", ""url"": ""https://fapergs.rs.gov.br/upload/arquivos/202604/01085816-anexo-i-formulario-institucional-probic-probiti-2026-2028.xlsx""}, {""nome"": ""ANEXO II - FORMULÁRIO PARA INDICAÇÃO DE BOLSISTA 2026 (.docx 90,86 KBytes)"", ""url"": ""https://fapergs.rs.gov.br/upload/arquivos/202604/01085818-anexo-ii-formulario-indicacao-bolsista-2026.docx""}, {""nome"": ""ANEXO II - FORMULÁRIO PARA INDICAÇÃO DE BOLSISTA 2027 (.docx 90,65 KBytes)"", ""url"": ""https://fapergs.rs.gov.br/upload/arquivos/202604/01085819-anexo-ii-formulario-indicacao-bolsista-2027.docx""}, {""nome"": ""ANEXO II - FORMULÁRIO PARA INDICAÇÃO DE BOLSISTA 2028 (.docx 90,64 KBytes)"", ""url"": ""https://fapergs.rs.gov.br/upload/arquivos/202604/01085821-anexo-ii-formulario-indicacao-bolsista-2028.docx""}, {""nome"": ""ANEXO III - FORMULÁRIO PARA CANCELAMENTO OU SUBSTITUIÇÃO DE BOLSISTA 2026-2028 (.docx 95,42 KBytes)"", ""url"": ""https://fapergs.rs.gov.br/upload/arquivos/202604/01085823-anexo-iii-formulario-de-cancelamento-ou-substituicao-de-bolsista-2026-2028.docx""}, {""nome"": ""ANEXO IV - RELATÓRIO TÉCNICO PROBIC/PROBITI 2026 (.docx 90,45 KBytes)"", ""url"": ""https://fapergs.rs.gov.br/upload/arquivos/202604/01085825-anexo-iv-relatorio-tecnico-probic-probiti-2026.docx""}, {""nome"": ""ANEXO IV - RELATÓRIO TÉCNICO PROBIC/PROBITI 2027 (.docx 90,47 KBytes)"", ""url"": ""https://fapergs.rs.gov.br/upload/arquivos/202604/01085827-anexo-iv-relatorio-tecnico-probic-probiti-2027.docx""}, {""nome"": ""ANEXO IV - RELATÓRIO TÉCNICO PROBIC/PROBITI 2028 (.docx 90,48 KBytes)"", ""url"": ""https://fapergs.rs.gov.br/upload/arquivos/202604/01085828-anexo-iv-relatorio-tecnico-probic-probiti-2028.docx""}, {""nome"": ""ANEXO V - RELATÓRIO TÉCNICO CIENTÍFICO INSTITUCIONAL - 2026 (.doc 201,00 KBytes)"", ""url"": ""https://fapergs.rs.gov.br/upload/arquivos/202604/01085834-anexo-v-relatorio-tecnico-cientifico-institucional-2026.doc""}, {""nome"": ""ANEXO V - RELATÓRIO TÉCNICO CIENTÍFICO INSTITUCIONAL 2027 (.doc 201,50 KBytes)"", ""url"": ""https://fapergs.rs.gov.br/upload/arquivos/202604/01085836-anexo-v-relatorio-tecnico-cientifico-institucional-2027.doc""}, {""nome"": ""ANEXO V - RELATÓRIO TÉCNICO CIENTÍFICO INSTITUCIONAL 2028 (.doc 201,50 KBytes)"", ""url"": ""https://fapergs.rs.gov.br/upload/arquivos/202604/01085812-anexo-v-relatorio-tecnico-cientifico-institucional-2028.doc""}]"
Chamada CONFAP–Brasillinois 2026 - FAPERGS - Fundação de Amparo à pesquisa do Estado do RS,,https://fapergs.rs.gov.br/chamada-confap-brasillinois-2026,,Aberto,,,,Chamada CONFAP–Brasillinois 2026 - FAPERGS - Fundação de Amparo à pesquisa do Estado do RS,[]
EDITAL FAPERGS 03/2026 - PROGRAMA DE APOIO AOS ECOSSISTEMAS DE INOVAÇÃO - EDIÇÃO 2026 - FAPERGS - Fundação de Amparo à pesquisa do Estado do RS,04/2025,https://fapergs.rs.gov.br/edital-fapergs-03-2026-programa-de-apoio-aos-ecossistemas-de-inovacao-edicao-2026,https://fapergs.rs.gov.br/upload/arquivos/202603/23095100-edital-03-2026-programa-de-apoio-aos-ecossistemas-de-inovacao-edicao-2026.pdf,Aberto,,2026-07-31,"DO EDITAL 1.1. Apoiar o desenvolvimento de projetos mobilizadores voltados à inovação e ao avanço tecnológico em ecossistemas de inov ação sediados no estado do Rio Grande do Sul , promovendo a articulação entre a produção de conhecimento, o setor produtivo, a sociedade e o desenvolvimento tecnológico. 1.",EDITAL FAPERGS 03/2026 - PROGRAMA DE APOIO AOS ECOSSISTEMAS DE INOVAÇÃO - EDIÇÃO 2026 - FAPERGS - Fundação de Amparo à pesquisa do Estado do RS,"[{""nome"": ""EDITAL FAPERGS 03/2026 - PROGRAMA DE APOIO AOS ECOSSISTEMAS DE INOVAÇÃO - EDIÇÃO 2026 (.pdf 282,98 KBytes)"", ""url"": ""https://fapergs.rs.gov.br/upload/arquivos/202603/23095100-edital-03-2026-programa-de-apoio-aos-ecossistemas-de-inovacao-edicao-2026.pdf""}]"
Programa Horizon Europe da Comunidade Europeia - FAPERGS - Fundação de Amparo à pesquisa do Estado do RS,,https://fapergs.rs.gov.br/programa-horizon-europe-da-comunidade-europeia,https://fapergs.rs.gov.br/upload/arquivos/202109/28075734-regulamento-pdti.pdf,Aberto,,,,Programa Horizon Europe da Comunidade Europeia - FAPERGS - Fundação de Amparo à pesquisa do Estado do RS,"[{""nome"": ""PT - Horizon Europe FAPERGS Guidelines 2024 v4 (.pdf 388,02 KBytes)"", ""url"": ""https://fapergs.rs.gov.br/upload/arquivos/202410/03160733-pt-horizon-europe-fapergs-guidelines-2024-v4.pdf""}, {""nome"": ""REGULAMENTO BOLSA DE PESQUISA, DESENVOLVIMENTO TECNOLÓGICO E INOVAÇÃO - PDTI"", ""url"": ""https://fapergs.rs.gov.br/upload/arquivos/202109/28075734-regulamento-pdti.pdf""}]"
