titulo,descricao,link,fonte,data_publicacao,fim_inscricao,situacao,valor,programa,acao,tipo_recurso,extras
Weatherization Assistance Program,"Weatherization Assistance Program Weatherization Assistance Program | Department of Energy Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock ) or https:// means you’ve safely connected to the .gov website. Share sensitive information only on official, secure websites. About About Our Agency Our Agency History Our Leadership & Offices The National Nuclear Security Administration The Energy Information Administration National Laboratories Power Marketing Administrations Our Outreach Our Outreach Newsroom Digital Engagement and Media Brand Guides Our Mission Our Mission Genesis Mission Security & Safety Security & Safety Nuclear Security Energy Security Cybersecurity Environmental & Legacy Management Research, Technology, & Economic Security Emergency Response Scientific Excellence Scientific Excellence Scientific Research Database (OSTI) Nobel Prize Laureates Environment Environment Earth Systems Modeling Energy Access Energy Access 2025 DOE 403 Orders Grid Deployment & Transmission Puerto Rico Grid Resilience & Transitions (PR 100) Tribal Energy Access Economic Growth Economic Growth Energy Workforce American Manufacturing Technology Transitions & Early Investments Commercial Implementation Topics Topics View All Topics Funding Opportunities Funding Opportunities View Funding Opportunities Funding Opportunities By Office Funding Opportunities By Office Office of the Under Secretary of Energy Advanced Research Projects Agency-Energy Office of Critical Minerals and Energy Innovation Office of Energy Dominance Financing Federal Energy Management Program Grid Deployment Office Hydrocarbons and Geothermal Energy Office Office of Indian Energy Office of Manufacturing and Energy Supply Chains Office of Science Consumer Savings Consumer Savings Tax Credits & Rebates Energy Saving Tips Weatherization Assistance Program Services & Opportunities Services & Opportunities Career Pathways Career Pathways Internships & Fellowships Apprenticeships & Workforce Development Work at DOE Breadcrumb Home Consumer Savings Weatherization Assistance Program Weatherization Assistance Program The U.S. Department of Energy (DOE) Weatherization Assistance Program (WAP) reduces energy costs for low-income households by increasing the energy efficiency of their homes, while ensuring their health and safety. The program supports 8,500 jobs and provides weatherization services to approximately 32,000 homes every year using DOE funds. Through weatherization improvements and upgrades, these households save on average $372 or more every year according to a national evaluation of the program. Since the program began in 1976, WAP has helped improve the lives of more than 7.2 million families through weatherization services. For information about the Weatherization Assistance Program, please visit the how to apply page. Program Notices and Memorandums Find active Weatherization Program Notices and Memorandums. Learn More about Program Notices and Memorandums December 20, 2024 How to Apply Learn how to apply for Weatherization Assistance Program services. Learn More about How to Apply December 20, 2024 Resource Hub View the index of resources for the Weatherization Assistance Program. Learn More about Resource Hub December 20, 2024 WAP Success Sto",https://www.energy.gov/cmei/scep/wap/weatherization-assistance-program,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Reembolsável (Financiamento),"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
Funding Opportunities,"Funding Opportunities Funding Opportunities | Department of Energy Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock ) or https:// means you’ve safely connected to the .gov website. Share sensitive information only on official, secure websites. About About Our Agency Our Agency History Our Leadership & Offices The National Nuclear Security Administration The Energy Information Administration National Laboratories Power Marketing Administrations Our Outreach Our Outreach Newsroom Digital Engagement and Media Brand Guides Our Mission Our Mission Genesis Mission Security & Safety Security & Safety Nuclear Security Energy Security Cybersecurity Environmental & Legacy Management Research, Technology, & Economic Security Emergency Response Scientific Excellence Scientific Excellence Scientific Research Database (OSTI) Nobel Prize Laureates Environment Environment Earth Systems Modeling Energy Access Energy Access 2025 DOE 403 Orders Grid Deployment & Transmission Puerto Rico Grid Resilience & Transitions (PR 100) Tribal Energy Access Economic Growth Economic Growth Energy Workforce American Manufacturing Technology Transitions & Early Investments Commercial Implementation Topics Topics View All Topics Funding Opportunities Funding Opportunities View Funding Opportunities Funding Opportunities By Office Funding Opportunities By Office Office of the Under Secretary of Energy Advanced Research Projects Agency-Energy Office of Critical Minerals and Energy Innovation Office of Energy Dominance Financing Federal Energy Management Program Grid Deployment Office Hydrocarbons and Geothermal Energy Office Office of Indian Energy Office of Manufacturing and Energy Supply Chains Office of Science Consumer Savings Consumer Savings Tax Credits & Rebates Energy Saving Tips Weatherization Assistance Program Services & Opportunities Services & Opportunities Career Pathways Career Pathways Internships & Fellowships Apprenticeships & Workforce Development Work at DOE Breadcrumb Transportation Technologies Office Funding Opportunities Funding Opportunities The Office of Energy Efficiency and Renewable Energy (EERE) supports high impact projects that can significantly and swiftly advance market acceptance of next generation energy efficiency and renewable energy technologies. New funding opportunities are announced regularly. Open Funding Opportunities Funding Opportunity Number Funding Opportunity Title Announcement Type Program Concept paper Deadline Full Application Deadline DE-FOA-0003514 Notice of Funding Opportunity ""Fiscal Year 2025 Vehicle Technologies Office (VTO) Program Wide Funding Opportunity Announcement"" NOFO Vehicle Technologies Office (VTO) 4/1/2025 6/18/2025 DE-FOA-0003383 Funding Opportunity Announcement ""Fiscal Year 2024 Vehicle Technologies Office Batteries Funding Opportunity Announcement"" (DE-FOA-0003383) FOA Vehicle Technologies Office (VTO) 9/9/2024 10/30/2024 DOE-FOA-0003433 Notice of Intent to Issue Funding Opportunity Announcement DE-FOA-3434 ""Infrastructure Investment and Jobs Act Electric Drive Vehicle Battery Improving Economics, Recovery and Reuse, and State of Health"" NOI Vehicle Technologies Office (VTO) N/A N/A Note: Official notices of solicitations can be found at the EERE Program Information Cent",https://www.energy.gov/cmei/vehicles/funding-opportunities,DOE_ARPAE,2025-01-04,,Em andamento,,DOE / ARPA-E,,Subvenção (Não Reembolsável),"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
DE-FOA-0003514,DE-FOA-0003514 DE-FOA-0003514,https://cms.doe.gov/eere/vehicles/articles/funding-notice-fiscal-year-2025-vehicle-technologies-office-vto-program-wide,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Não Especificado,"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
Funding Notice: Fiscal Year 2024 Vehicle Technologies Office Batteries Funding Opportunity Announcement,"Funding Notice: Fiscal Year 2024 Vehicle Technologies Office Batteries Funding Opportunity Announcement Funding Notice: Fiscal Year 2024 Vehicle Technologies Office Batteries Funding Opportunity Announcement | Department of Energy Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock ) or https:// means you’ve safely connected to the .gov website. Share sensitive information only on official, secure websites. About About Our Agency Our Agency History Our Leadership & Offices The National Nuclear Security Administration The Energy Information Administration National Laboratories Power Marketing Administrations Our Outreach Our Outreach Newsroom Digital Engagement and Media Brand Guides Our Mission Our Mission Genesis Mission Security & Safety Security & Safety Nuclear Security Energy Security Cybersecurity Environmental & Legacy Management Research, Technology, & Economic Security Emergency Response Scientific Excellence Scientific Excellence Scientific Research Database (OSTI) Nobel Prize Laureates Environment Environment Earth Systems Modeling Energy Access Energy Access 2025 DOE 403 Orders Grid Deployment & Transmission Puerto Rico Grid Resilience & Transitions (PR 100) Tribal Energy Access Economic Growth Economic Growth Energy Workforce American Manufacturing Technology Transitions & Early Investments Commercial Implementation Topics Topics View All Topics Funding Opportunities Funding Opportunities View Funding Opportunities Funding Opportunities By Office Funding Opportunities By Office Office of the Under Secretary of Energy Advanced Research Projects Agency-Energy Office of Critical Minerals and Energy Innovation Office of Energy Dominance Financing Federal Energy Management Program Grid Deployment Office Hydrocarbons and Geothermal Energy Office Office of Indian Energy Office of Manufacturing and Energy Supply Chains Office of Science Consumer Savings Consumer Savings Tax Credits & Rebates Energy Saving Tips Weatherization Assistance Program Services & Opportunities Services & Opportunities Career Pathways Career Pathways Internships & Fellowships Apprenticeships & Workforce Development Work at DOE Breadcrumb Transportation Technologies Office Funding Notice: Fiscal Year 2024 Vehicle Technologies Office Batteries Funding Opportunity Announcement Funding Notice: Fiscal Year 2024 Vehicle Technologies Office Batteries Funding Opportunity Announcement Office: Vehicle Technologies Office FOA number: DE-FOA-0003383 Link to apply: Apply on EERE Exchange FOA Amount: $42,950,000 The U.S. Department of Energy (DOE) announced $43 million in funding for projects that will advance research, development, demonstration, and deployment (RDD&D) in several areas critical to the future of advanced batteries. The funding will drive innovations in low-cost electric vehicle (EV) battery electrode, cell, or pack manufacturing; improve battery safety and reduce cascading failures; and strengthen the domestic supply chain of inexpensive and abundant battery materials. DOE’s Vehicle Technologies Office (VTO) will supply the funding and build on the Office of Energy Efficiency and Renewable Energy’s leadership in RDD&D of new technologies leading to efficient and affordable mobility options. Topic areas in VTO’s Fiscal Year 2024",https://www.energy.gov/eere/vehicles/funding-notice-fiscal-year-2024-vehicle-technologies-office-batteries-funding,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Reembolsável (Financiamento),"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
Notice of Intent: $70 Million in Infrastructure Investment and Jobs Act Funding for Electric Drive Vehicle Battery Recycling and Re-Use,"Notice of Intent: $70 Million in Infrastructure Investment and Jobs Act Funding for Electric Drive Vehicle Battery Recycling and Re-Use Notice of Intent: $70 Million in Infrastructure Investment and Jobs Act Funding for Electric Drive Vehicle Battery Recycling and Re-Use | Department of Energy Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock ) or https:// means you’ve safely connected to the .gov website. Share sensitive information only on official, secure websites. About About Our Agency Our Agency History Our Leadership & Offices The National Nuclear Security Administration The Energy Information Administration National Laboratories Power Marketing Administrations Our Outreach Our Outreach Newsroom Digital Engagement and Media Brand Guides Our Mission Our Mission Genesis Mission Security & Safety Security & Safety Nuclear Security Energy Security Cybersecurity Environmental & Legacy Management Research, Technology, & Economic Security Emergency Response Scientific Excellence Scientific Excellence Scientific Research Database (OSTI) Nobel Prize Laureates Environment Environment Earth Systems Modeling Energy Access Energy Access 2025 DOE 403 Orders Grid Deployment & Transmission Puerto Rico Grid Resilience & Transitions (PR 100) Tribal Energy Access Economic Growth Economic Growth Energy Workforce American Manufacturing Technology Transitions & Early Investments Commercial Implementation Topics Topics View All Topics Funding Opportunities Funding Opportunities View Funding Opportunities Funding Opportunities By Office Funding Opportunities By Office Office of the Under Secretary of Energy Advanced Research Projects Agency-Energy Office of Critical Minerals and Energy Innovation Office of Energy Dominance Financing Federal Energy Management Program Grid Deployment Office Hydrocarbons and Geothermal Energy Office Office of Indian Energy Office of Manufacturing and Energy Supply Chains Office of Science Consumer Savings Consumer Savings Tax Credits & Rebates Energy Saving Tips Weatherization Assistance Program Services & Opportunities Services & Opportunities Career Pathways Career Pathways Internships & Fellowships Apprenticeships & Workforce Development Work at DOE Breadcrumb Transportation Technologies Office Notice of Intent: $70 Million in Infrastructure Investment and Jobs Act Funding for Electric Drive Vehicle Battery Recycling and Re-Use Notice of Intent: $70 Million in Infrastructure Investment and Jobs Act Funding for Electric Drive Vehicle Battery Recycling and Re-Use The U.S. Department of Energy (DOE) announced an intent to fund up to $70 million for projects that will improve the economics of electric drive vehicle battery recovery and re-use. Funded through the Infrastructure Investment and Jobs Act, this funding supports research, development, and demonstration of second-life applications for batteries once used to power electric vehicles (EVs) and new technologies and processes for recycling and reclaiming critical materials back into the battery supply chain. With the demand for EVs and stationary storage projected to increase the size of the lithium battery market by five- to ten-fold by the end of the decade, it is essential that the United States invests in the capacity to accelerate the",https://www.energy.gov/node/4844831/,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Reembolsável (Financiamento),"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
EERE Program Information Center,EERE Program Information Center EERE Program Information Center,https://epicweb.ee.doe.gov/EPICWeb/,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Não Especificado,"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
Grants.gov,"Grants.gov Home | Grants.gov An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock icon ) or https:// means you've safely connected to the .gov website. Share sensitive information only on official, secure websites. Menu Search Site Content Help Register Login Search Discover Your Next Grant Explore federal grant opportunities with our enhanced, user-friendly search. Search Now Informative status Reminder: Federal agencies do not publish personal financial assistance opportunities on Grants.gov. Federal funding opportunities published on Grants.gov are for organizations and entities supporting the development and management of government-funded programs and projects. For more information about personal financial assistance benefits, please visit USA.gov. Search Grants Get Started Grant Policies Grant-Making Agencies Prevent Scams Community Blog Twitter Feed YouTube Videos User Guide Support Center How to Apply for Federal Funding Opportunities Key steps that will help you in the application process Learn more Are You Eligible for Federal Funding Opportunities? Determining your eligibility for federal grants is an important first step in the application process. Learn more Ways to Get Help When Using Grants.gov Grants.gov offers a wide range of help-focused resources Learn more Grant Writing Tips Principles and examples of grant-writing Learn more Learning Workspace - Application Workflow for Organizations ""How To..."" Blog Series How to manage passwords, find grantor contact information, find an applicant's UEI, and more Learn more Intro to Grants.gov - Applying for a Federal Grant on Grants.gov Grants Learning Center The Grants Learning Center is your gateway to the federal grants world Learn more Next System Maintenance: May 16-18, 2026 Software releases bring users new features and fixes Learn more Return to top Connect with Us Blog Twitter YouTube Alerts RSS XML Extract Get Adobe Reader Health & Human Services HHS.gov EEOC / No Fear Act Accessibility Privacy Vulnerability Disclosure Policy Disclaimers Site Map Community USA.gov WhiteHouse.gov USAspending.gov SBA.gov SAM.gov Report Fraud Additional Help Chat now with Grant Frequently Asked Questions Your session will expire in 3 minutes. To continue working, click on the ""OK"" button below. Note: This is being done to protect your privacy. Unsaved changes will be lost. Ok Open default modal",http://www.grants.gov/,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Subvenção (Não Reembolsável),"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
EERE Funding Opportunities page,EERE Funding Opportunities page EERE Funding Opportunities page,https://energy.gov/eere/funding/eere-funding-opportunities,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Não Especificado,"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
Closed Funding Opportunities,"Closed Funding Opportunities Closed Funding Opportunities | Department of Energy Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( Lock Locked padlock ) or https:// means you’ve safely connected to the .gov website. Share sensitive information only on official, secure websites. About About Our Agency Our Agency History Our Leadership & Offices The National Nuclear Security Administration The Energy Information Administration National Laboratories Power Marketing Administrations Our Outreach Our Outreach Newsroom Digital Engagement and Media Brand Guides Our Mission Our Mission Genesis Mission Security & Safety Security & Safety Nuclear Security Energy Security Cybersecurity Environmental & Legacy Management Research, Technology, & Economic Security Emergency Response Scientific Excellence Scientific Excellence Scientific Research Database (OSTI) Nobel Prize Laureates Environment Environment Earth Systems Modeling Energy Access Energy Access 2025 DOE 403 Orders Grid Deployment & Transmission Puerto Rico Grid Resilience & Transitions (PR 100) Tribal Energy Access Economic Growth Economic Growth Energy Workforce American Manufacturing Technology Transitions & Early Investments Commercial Implementation Topics Topics View All Topics Funding Opportunities Funding Opportunities View Funding Opportunities Funding Opportunities By Office Funding Opportunities By Office Office of the Under Secretary of Energy Advanced Research Projects Agency-Energy Office of Critical Minerals and Energy Innovation Office of Energy Dominance Financing Federal Energy Management Program Grid Deployment Office Hydrocarbons and Geothermal Energy Office Office of Indian Energy Office of Manufacturing and Energy Supply Chains Office of Science Consumer Savings Consumer Savings Tax Credits & Rebates Energy Saving Tips Weatherization Assistance Program Services & Opportunities Services & Opportunities Career Pathways Career Pathways Internships & Fellowships Apprenticeships & Workforce Development Work at DOE Breadcrumb Transportation Technologies Office Closed Funding Opportunities Closed Funding Opportunities The following FOAs are listed by title, FOA number, and fiscal year. When available, there is a link to the original FOA and the press release announcing the projects that were competitively selected. As these are the original press releases, some project details may have changed. Additional information on funded projects is available in the presentations from the Annual Merit Review and Peer Evaluation. Results from research and development projects are available in the Annual Reports. Fiscal Year (FY) 2024 Fiscal Year 2024 Research & Development Funding Opportunity Announcement - DE-FOA-0003248 - Projects Selected Fiscal Year 2024 Technology Integration Funding Opportunity Announcement - DE-FOA-0003250 - Projects Selected WASTE: Waste Analysis and Strategies for Transportation End-uses - DE-FOA-0003072 - Projects Selected SuperTruck Charge - DE-FOA-0003344 - Projects Selected Fiscal Year (FY) 2023 Fiscal Year 2023 Vehicle Technologies Office Program Wide Funding Opportunity Announcement - DE-FOA-0002893 - Projects Selected Battery Research and Development Consortium Funding Opportunity Announcement - DE-FOA-0002965 - Projects Selected Bipartisan Infra",https://www.energy.gov/cmei/vehicles/closed-funding-opportunities,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Reembolsável (Financiamento),"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
How Do I Apply for EERE Funding?,How Do I Apply for EERE Funding? How Do I Apply for EERE Funding?,https://www.energy.gov/eere/funding/how-do-i-apply-eere-funding,DOE_ARPAE,,,Em andamento,,DOE / ARPA-E,,Não Especificado,"{'anexos': [], 'url_pagina': 'https://www.energy.gov/eere/funding-opportunities', 'coletado_em': '2026-04-15'}"
