2026-04-14 18:31:52,284 | WARNING | loader | Falha ao inserir extra 'situacao' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:52,506 | WARNING | loader | Falha ao inserir extra 'qtd_anexos' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:52,727 | WARNING | loader | Falha ao inserir extra 'programa_identificado' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:52,955 | WARNING | loader | Falha ao inserir extra 'tipo_recurso' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:53,624 | WARNING | loader | Falha ao inserir anexo do edital 688: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:53,839 | WARNING | loader | Falha ao inserir extra 'url_pagina' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:54,059 | WARNING | loader | Falha ao inserir extra 'url_chamada' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:54,264 | WARNING | loader | Falha ao inserir extra 'publicado_em' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:54,491 | WARNING | loader | Falha ao inserir extra 'atualizado_em' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:54,700 | WARNING | loader | Falha ao inserir extra 'inscricoes_inicio' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:54,927 | WARNING | loader | Falha ao inserir extra 'inscricoes_fim' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:55,146 | WARNING | loader | Falha ao inserir extra 'situacao' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:55,366 | WARNING | loader | Falha ao inserir extra 'qtd_anexos' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:55,569 | WARNING | loader | Falha ao inserir extra 'programa_identificado' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:55,801 | WARNING | loader | Falha ao inserir extra 'tipo_recurso' do edital 688: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:56,522 | WARNING | loader | Falha ao inserir anexo do edital 689: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:56,729 | WARNING | loader | Falha ao inserir anexo do edital 689: {'message': "Could not find the table 'public.edital_anexo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:56,941 | WARNING | loader | Falha ao inserir extra 'url_pagina' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:57,149 | WARNING | loader | Falha ao inserir extra 'url_chamada' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:57,367 | WARNING | loader | Falha ao inserir extra 'publicado_em' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:57,579 | WARNING | loader | Falha ao inserir extra 'atualizado_em' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:57,788 | WARNING | loader | Falha ao inserir extra 'inscricoes_inicio' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:58,010 | WARNING | loader | Falha ao inserir extra 'inscricoes_fim' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
2026-04-14 18:31:58,235 | WARNING | loader | Falha ao inserir extra 'situacao' do edital 689: {'message': "Could not find the table 'public.edital_extra_campo' in the schema cache", 'code': 'PGRST205', 'hint': "Perhaps you meant the table 'public.edital'", 'details': None}
