titulo,descricao,link,fonte,data_publicacao,fim_inscricao,situacao,valor,programa,acao,tipo_recurso,extras
Supplier Relations | Thales Group,"Thales supplier relations hub: procurement stakes, key supplier documents (security requirements, GRAEP, general terms), and references to collaborative tools (e.g. e-ACQuisition, Air Supply — restricted access for registered suppliers).",https://www.thalesgroup.com/en/supplier,Thales Suppliers,,,Em andamento,,tecnologias_estrategicas,monitoramento_oportunidades_publicas,contratacao_publica,"{'regiao': '', 'setor_estrategico': 'defesa_industrial', 'subtema': ['fornecedores_defesa', 'licitacoes_defesa'], 'area_cientifica': [], 'area_tecnologica': ['fornecedores_defesa', 'licitacoes_defesa'], 'tipo_oportunidade': 'supplier_portal', 'empresa_prime': '', 'orgao_contratante': 'Thales Suppliers', 'pais': 'FR', 'idioma_original': '', 'titulo_original': '', 'descricao_original': '', 'titulo_traduzido': '', 'descricao_traduzida': '', 'orgao_responsavel': '', 'instituicao': '', 'numero_edital': '', 'numero_chamada': '', 'numero_processo': '', 'codigo_oportunidade': '', 'modalidade': '', 'publico_alvo': '', 'elegibilidade': '', 'objetivo': '', 'escopo': '', 'itens_financiaveis': [], 'itens_nao_financiaveis': [], 'valor_total': '', 'valor_por_projeto': '', 'contrapartida': '', 'prazo_execucao': '', 'cronograma': [], 'documentos': [], 'pdf_url': '', 'pdf_texto_extraido': '', 'pdf_resumo': '', 'data_publicacao_original': '', 'fim_inscricao_original': '', 'prazo_submissao_original': '', 'metodo_extracao': 'curated_hub_summary', 'url_listagem': 'https://www.thalesgroup.com/en/supplier', 'url_detalhe': 'https://www.thalesgroup.com/en/supplier', 'nivel_sensibilidade': 'publico_institucional', 'contexto_sensivel_detectado': False, 'marcadores_contexto_sensivel': [], 'origem': 'https://www.thalesgroup.com/en/supplier', 'palavras_chave_detectadas': ['procurement', 'supplier'], 'necessita_traducao': False, 'observacoes': '', 'tipo_recurso': 'contratacao_publica', 'origem_portal': 'Thales'}"
Generic Requirements Applicable to External Providers (GRAEP),GRAEP matrix — requirements applicable to external providers supplying Thales (PDF).,https://www.thalesgroup.com/sites/default/files/2025-06/87212869-ACQ-GRP-EN-006%20-%20Matrice%20EGAPE%20-%20GRAEP%20Matrix%20%283%29.pdf,Thales Suppliers,,,Em andamento,,tecnologias_estrategicas,monitoramento_oportunidades_publicas,contratacao_publica,"{'regiao': '', 'setor_estrategico': 'defesa_industrial', 'subtema': [], 'area_cientifica': [], 'area_tecnologica': [], 'tipo_oportunidade': 'supplier_portal', 'empresa_prime': '', 'orgao_contratante': 'Thales Suppliers', 'pais': 'FR', 'idioma_original': '', 'titulo_original': '', 'descricao_original': '', 'titulo_traduzido': '', 'descricao_traduzida': '', 'orgao_responsavel': '', 'instituicao': '', 'numero_edital': '', 'numero_chamada': '', 'numero_processo': '', 'codigo_oportunidade': '', 'modalidade': '', 'publico_alvo': '', 'elegibilidade': '', 'objetivo': '', 'escopo': '', 'itens_financiaveis': [], 'itens_nao_financiaveis': [], 'valor_total': '', 'valor_por_projeto': '', 'contrapartida': '', 'prazo_execucao': '', 'cronograma': [], 'documentos': [{'nome': 'Generic Requirements Applicable to External Providers (GRAEP)', 'url': 'https://www.thalesgroup.com/sites/default/files/2025-06/87212869-ACQ-GRP-EN-006%20-%20Matrice%20EGAPE%20-%20GRAEP%20Matrix%20%283%29.pdf'}], 'pdf_url': 'https://www.thalesgroup.com/sites/default/files/2025-06/87212869-ACQ-GRP-EN-006%20-%20Matrice%20EGAPE%20-%20GRAEP%20Matrix%20%283%29.pdf', 'pdf_texto_extraido': '', 'pdf_resumo': '', 'data_publicacao_original': '', 'fim_inscricao_original': '', 'prazo_submissao_original': '', 'metodo_extracao': 'curated_official_manifest', 'url_listagem': 'https://www.thalesgroup.com/en/supplier', 'url_detalhe': 'https://www.thalesgroup.com/sites/default/files/2025-06/87212869-ACQ-GRP-EN-006%20-%20Matrice%20EGAPE%20-%20GRAEP%20Matrix%20%283%29.pdf', 'nivel_sensibilidade': 'publico_institucional', 'contexto_sensivel_detectado': False, 'marcadores_contexto_sensivel': [], 'origem': 'https://www.thalesgroup.com/sites/default/files/2025-06/87212869-ACQ-GRP-EN-006%20-%20Matrice%20EGAPE%20-%20GRAEP%20Matrix%20%283%29.pdf', 'palavras_chave_detectadas': [], 'necessita_traducao': False, 'observacoes': '', 'tipo_recurso': 'contratacao_publica', 'natureza_recurso': 'contratual', 'origem_portal': 'Thales'}"
Thales Security Requirements - Purchasing,"Official Thales purchasing security requirements for suppliers (PDF, Key documents).",https://www.thalesgroup.com/sites/default/files/2025-06/SECURITY%20REQUIREMENTS%20PURCHASING%20T%26Cs%20%281%29_0.pdf,Thales Suppliers,,,Em andamento,,tecnologias_estrategicas,monitoramento_oportunidades_publicas,contratacao_publica,"{'regiao': '', 'setor_estrategico': 'defesa_industrial', 'subtema': ['fornecedores_defesa'], 'area_cientifica': [], 'area_tecnologica': ['fornecedores_defesa'], 'tipo_oportunidade': 'supplier_portal', 'empresa_prime': '', 'orgao_contratante': 'Thales Suppliers', 'pais': 'FR', 'idioma_original': '', 'titulo_original': '', 'descricao_original': '', 'titulo_traduzido': '', 'descricao_traduzida': '', 'orgao_responsavel': '', 'instituicao': '', 'numero_edital': '', 'numero_chamada': '', 'numero_processo': '', 'codigo_oportunidade': '', 'modalidade': '', 'publico_alvo': '', 'elegibilidade': '', 'objetivo': '', 'escopo': '', 'itens_financiaveis': [], 'itens_nao_financiaveis': [], 'valor_total': '', 'valor_por_projeto': '', 'contrapartida': '', 'prazo_execucao': '', 'cronograma': [], 'documentos': [{'nome': 'Thales Security Requirements - Purchasing', 'url': 'https://www.thalesgroup.com/sites/default/files/2025-06/SECURITY%20REQUIREMENTS%20PURCHASING%20T%26Cs%20%281%29_0.pdf'}], 'pdf_url': 'https://www.thalesgroup.com/sites/default/files/2025-06/SECURITY%20REQUIREMENTS%20PURCHASING%20T%26Cs%20%281%29_0.pdf', 'pdf_texto_extraido': '', 'pdf_resumo': '', 'data_publicacao_original': '', 'fim_inscricao_original': '', 'prazo_submissao_original': '', 'metodo_extracao': 'curated_official_manifest', 'url_listagem': 'https://www.thalesgroup.com/en/supplier', 'url_detalhe': 'https://www.thalesgroup.com/sites/default/files/2025-06/SECURITY%20REQUIREMENTS%20PURCHASING%20T%26Cs%20%281%29_0.pdf', 'nivel_sensibilidade': 'publico_institucional', 'contexto_sensivel_detectado': False, 'marcadores_contexto_sensivel': [], 'origem': 'https://www.thalesgroup.com/sites/default/files/2025-06/SECURITY%20REQUIREMENTS%20PURCHASING%20T%26Cs%20%281%29_0.pdf', 'palavras_chave_detectadas': ['supplier'], 'necessita_traducao': False, 'observacoes': '', 'tipo_recurso': 'contratacao_publica', 'natureza_recurso': 'contratual', 'origem_portal': 'Thales'}"
General terms and conditions of purchase,Thales Group general terms and conditions of purchase (PDF).,https://www.thalesgroup.com/sites/default/files/2025-09/THALES%20GENERAL%20TERMS%20AND%20CONDITIONS%20OF%20PURCHASE%20-%2005.05.2025%20%282%29.pdf,Thales Suppliers,,,Em andamento,,tecnologias_estrategicas,monitoramento_oportunidades_publicas,contratacao_publica,"{'regiao': '', 'setor_estrategico': 'defesa_industrial', 'subtema': [], 'area_cientifica': [], 'area_tecnologica': [], 'tipo_oportunidade': 'supplier_portal', 'empresa_prime': '', 'orgao_contratante': 'Thales Suppliers', 'pais': 'FR', 'idioma_original': '', 'titulo_original': '', 'descricao_original': '', 'titulo_traduzido': '', 'descricao_traduzida': '', 'orgao_responsavel': '', 'instituicao': '', 'numero_edital': '', 'numero_chamada': '', 'numero_processo': '', 'codigo_oportunidade': '', 'modalidade': '', 'publico_alvo': '', 'elegibilidade': '', 'objetivo': '', 'escopo': '', 'itens_financiaveis': [], 'itens_nao_financiaveis': [], 'valor_total': '', 'valor_por_projeto': '', 'contrapartida': '', 'prazo_execucao': '', 'cronograma': [], 'documentos': [{'nome': 'General terms and conditions of purchase', 'url': 'https://www.thalesgroup.com/sites/default/files/2025-09/THALES%20GENERAL%20TERMS%20AND%20CONDITIONS%20OF%20PURCHASE%20-%2005.05.2025%20%282%29.pdf'}], 'pdf_url': 'https://www.thalesgroup.com/sites/default/files/2025-09/THALES%20GENERAL%20TERMS%20AND%20CONDITIONS%20OF%20PURCHASE%20-%2005.05.2025%20%282%29.pdf', 'pdf_texto_extraido': '', 'pdf_resumo': '', 'data_publicacao_original': '', 'fim_inscricao_original': '', 'prazo_submissao_original': '', 'metodo_extracao': 'curated_official_manifest', 'url_listagem': 'https://www.thalesgroup.com/en/supplier', 'url_detalhe': 'https://www.thalesgroup.com/sites/default/files/2025-09/THALES%20GENERAL%20TERMS%20AND%20CONDITIONS%20OF%20PURCHASE%20-%2005.05.2025%20%282%29.pdf', 'nivel_sensibilidade': 'publico_institucional', 'contexto_sensivel_detectado': False, 'marcadores_contexto_sensivel': [], 'origem': 'https://www.thalesgroup.com/sites/default/files/2025-09/THALES%20GENERAL%20TERMS%20AND%20CONDITIONS%20OF%20PURCHASE%20-%2005.05.2025%20%282%29.pdf', 'palavras_chave_detectadas': [], 'necessita_traducao': False, 'observacoes': '', 'tipo_recurso': 'contratacao_publica', 'natureza_recurso': 'contratual', 'origem_portal': 'Thales'}"
