titulo,link,descricao,fonte,data_publicacao,fim_inscricao,situacao,extras
Qualifica (EAD),https://apexbrasil.com.br/content/apexbrasil/br/pt/conteudo/capacitacoes/qualifica.html,Qualifica (EAD),Apex Brasil,,,Aberto,"{'anexos': [], 'fonte_original': 'Apex Brasil', 'metodo_extracao': 'apex_listing_detail', 'url_detalhe': 'https://apexbrasil.com.br/content/apexbrasil/br/pt/conteudo/capacitacoes/qualifica.html'}"
IAra Global Encontre mercados para exportação e muito mais com a IAra. É simples e gratuito. Acesse agora,https://apexbrasil.com.br/content/apexbrasil/br/pt/solucoes/todas-as-solucoes/iara-global.html?utm_source=nova_home&utm_medium=banner_destaque,IAra Global Encontre mercados para exportação e muito mais com a IAra. É simples e gratuito. Acesse agora,Apex Brasil,,,Aberto,"{'anexos': [], 'fonte_original': 'Apex Brasil', 'metodo_extracao': 'apex_listing_detail', 'url_detalhe': 'https://apexbrasil.com.br/content/apexbrasil/br/pt/solucoes/todas-as-solucoes/iara-global.html?utm_source=nova_home&utm_medium=banner_destaque'}"
licitações e contratos,https://apexbrasil.com.br/content/apexbrasil/br/pt/transparencia-e-prestacao-de-contas/licitacoes-e-contratos.html,licitações e contratos,Apex Brasil,,,Aberto,"{'anexos': [], 'fonte_original': 'Apex Brasil', 'metodo_extracao': 'apex_listing_detail', 'url_detalhe': 'https://apexbrasil.com.br/content/apexbrasil/br/pt/transparencia-e-prestacao-de-contas/licitacoes-e-contratos.html'}"
