titulo,link,descricao,fonte,data_publicacao,fim_inscricao,situacao,extras,valor,programa,acao,tipo_recurso
EDITAL Nº 18/2021/MCTI - PROCESSO DE ESCOLHA NOVO DIRETOR OBSERVATÓRIO NACIONAL/MCTI,https://www.gov.br/mcti/pt-br/centrais-de-conteudo/comunicados-mcti/edital-cb-on.pdf,EDITAL Nº 18/2021/MCTI - PROCESSO DE ESCOLHA NOVO DIRETOR OBSERVATÓRIO NACIONAL/MCTI,MCTI,,,Aberto,"{'anexos': [{'nome': 'Edital PDF', 'url': 'https://www.gov.br/mcti/pt-br/centrais-de-conteudo/comunicados-mcti/edital-cb-on.pdf'}], 'fonte_original': 'MCTI gov.br', 'regiao': 'brasil', 'pais': 'Brasil', 'idioma_original': 'pt', 'setor_estrategico': 'ciencia_tecnologia', 'subtema': [], 'area_cientifica': ['fisica', 'quimica', 'ciencia_dos_materiais'], 'area_tecnologica': ['inovacao', 'pdi'], 'tipo_oportunidade': 'chamada_publica', 'orgao_responsavel': 'MCTI', 'instituicao': 'Ministério da Ciência, Tecnologia e Inovação', 'orgao_contratante': 'MCTI', 'documentos': [{'nome': 'Edital PDF', 'url': 'https://www.gov.br/mcti/pt-br/centrais-de-conteudo/comunicados-mcti/edital-cb-on.pdf'}], 'pdf_url': '', 'metodo_extracao': 'crawler_detalhe', 'url_listagem': '', 'url_detalhe': 'https://www.gov.br/mcti/pt-br/centrais-de-conteudo/comunicados-mcti/edital-cb-on.pdf', 'nivel_sensibilidade': 'publico_institucional'}",,mcti_fomento,monitoramento_oportunidades_publicas,Oportunidade Publica
EDITAL Nº 17/2021/MCTI - PROCESSO DE ESCOLHA NOVO DIRETOR MAST/MCTI,https://www.gov.br/mcti/pt-br/centrais-de-conteudo/comunicados-mcti/edital-cb-mast.pdf,EDITAL Nº 17/2021/MCTI - PROCESSO DE ESCOLHA NOVO DIRETOR MAST/MCTI,MCTI,,,Aberto,"{'anexos': [{'nome': 'Edital PDF', 'url': 'https://www.gov.br/mcti/pt-br/centrais-de-conteudo/comunicados-mcti/edital-cb-mast.pdf'}], 'fonte_original': 'MCTI gov.br', 'regiao': 'brasil', 'pais': 'Brasil', 'idioma_original': 'pt', 'setor_estrategico': 'ciencia_tecnologia', 'subtema': [], 'area_cientifica': ['fisica', 'quimica', 'ciencia_dos_materiais'], 'area_tecnologica': ['inovacao', 'pdi'], 'tipo_oportunidade': 'chamada_publica', 'orgao_responsavel': 'MCTI', 'instituicao': 'Ministério da Ciência, Tecnologia e Inovação', 'orgao_contratante': 'MCTI', 'documentos': [{'nome': 'Edital PDF', 'url': 'https://www.gov.br/mcti/pt-br/centrais-de-conteudo/comunicados-mcti/edital-cb-mast.pdf'}], 'pdf_url': '', 'metodo_extracao': 'crawler_detalhe', 'url_listagem': '', 'url_detalhe': 'https://www.gov.br/mcti/pt-br/centrais-de-conteudo/comunicados-mcti/edital-cb-mast.pdf', 'nivel_sensibilidade': 'publico_institucional'}",,mcti_fomento,monitoramento_oportunidades_publicas,Oportunidade Publica
"EDITAL CHAMAMENTO PÚBLICO Nº 11, DE 15 DE JUNHO DE 2021",https://www.gov.br/mcti/pt-br/centrais-de-conteudo/comunicados-mcti/20210616_edital_11.pdf,"EDITAL CHAMAMENTO PÚBLICO Nº 11, DE 15 DE JUNHO DE 2021",MCTI,,,Aberto,"{'anexos': [{'nome': 'Edital PDF', 'url': 'https://www.gov.br/mcti/pt-br/centrais-de-conteudo/comunicados-mcti/20210616_edital_11.pdf'}], 'fonte_original': 'MCTI gov.br', 'regiao': 'brasil', 'pais': 'Brasil', 'idioma_original': 'pt', 'setor_estrategico': 'ciencia_tecnologia', 'subtema': [], 'area_cientifica': ['fisica', 'quimica', 'ciencia_dos_materiais'], 'area_tecnologica': ['inovacao', 'pdi'], 'tipo_oportunidade': 'chamada_publica', 'orgao_responsavel': 'MCTI', 'instituicao': 'Ministério da Ciência, Tecnologia e Inovação', 'orgao_contratante': 'MCTI', 'documentos': [{'nome': 'Edital PDF', 'url': 'https://www.gov.br/mcti/pt-br/centrais-de-conteudo/comunicados-mcti/20210616_edital_11.pdf'}], 'pdf_url': '', 'metodo_extracao': 'crawler_detalhe', 'url_listagem': '', 'url_detalhe': 'https://www.gov.br/mcti/pt-br/centrais-de-conteudo/comunicados-mcti/20210616_edital_11.pdf', 'nivel_sensibilidade': 'publico_institucional'}",,mcti_fomento,monitoramento_oportunidades_publicas,Oportunidade Publica
