titulo,descricao,link,fonte,data_publicacao,fim_inscricao,situacao,valor,programa,acao,tipo_recurso,extras
Topic,"NOTE: The Solicitations and topics listed on this site are copies from the various SBIR agency solicitations and are not necessarily the latest and most up-to-date. For this reason, you should use the agency link listed below which will take you directly to the appropriate agency server where you can read the official version of this solicitation and download the appropriate forms and rules.",https://www.sbir.gov/topics/1012257,DoD SBIR/STTR,,,Em andamento,,base_industrial_defesa,programa_pdi,fomento_investimento,"{'regiao': '', 'setor_estrategico': 'defesa_industrial', 'subtema': ['pdi_defesa'], 'area_cientifica': [], 'area_tecnologica': ['pdi_defesa'], 'tipo_oportunidade': 'programa_pdi', 'empresa_prime': '', 'orgao_contratante': 'DoD SBIR/STTR', 'pais': 'US', 'idioma_original': '', 'titulo_original': '', 'descricao_original': '', 'titulo_traduzido': '', 'descricao_traduzida': '', 'orgao_responsavel': '', 'instituicao': '', 'numero_edital': '', 'numero_chamada': '', 'numero_processo': '', 'codigo_oportunidade': '', 'modalidade': '', 'publico_alvo': '', 'elegibilidade': '', 'objetivo': '', 'escopo': '', 'itens_financiaveis': [], 'itens_nao_financiaveis': [], 'valor_total': '', 'valor_por_projeto': '', 'contrapartida': '', 'prazo_execucao': '', 'cronograma': [], 'documentos': [{'nome': 'Find Topics and Solicitations', 'url': 'https://www.sbir.gov/topics'}, {'nome': 'View Official Solicitation', 'url': 'https://www.nasa.gov/sbir_sttr/phase-i/'}], 'pdf_url': '', 'pdf_texto_extraido': '', 'pdf_resumo': '', 'data_publicacao_original': '', 'fim_inscricao_original': '', 'prazo_submissao_original': '', 'metodo_extracao': 'html_listing_detail', 'url_listagem': 'https://www.sbir.gov/topics', 'url_detalhe': 'https://www.sbir.gov/topics/1012257', 'nivel_sensibilidade': 'publico_institucional', 'contexto_sensivel_detectado': False, 'marcadores_contexto_sensivel': [], 'origem': 'https://www.sbir.gov/topics/1012257', 'palavras_chave_detectadas': ['sbir'], 'necessita_traducao': False, 'observacoes': 'Coleta via fallback HTML por limitação 429 na API.', 'tipo_recurso': 'fomento_investimento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False}"
Topic,"NOTE: The Solicitations and topics listed on this site are copies from the various SBIR agency solicitations and are not necessarily the latest and most up-to-date. For this reason, you should use the agency link listed below which will take you directly to the appropriate agency server where you can read the official version of this solicitation and download the appropriate forms and rules.",https://www.sbir.gov/topics/1012248,DoD SBIR/STTR,,,Em andamento,,base_industrial_defesa,programa_pdi,fomento_investimento,"{'regiao': '', 'setor_estrategico': 'defesa_industrial', 'subtema': ['pdi_defesa'], 'area_cientifica': [], 'area_tecnologica': ['pdi_defesa'], 'tipo_oportunidade': 'programa_pdi', 'empresa_prime': '', 'orgao_contratante': 'DoD SBIR/STTR', 'pais': 'US', 'idioma_original': '', 'titulo_original': '', 'descricao_original': '', 'titulo_traduzido': '', 'descricao_traduzida': '', 'orgao_responsavel': '', 'instituicao': '', 'numero_edital': '', 'numero_chamada': '', 'numero_processo': '', 'codigo_oportunidade': '', 'modalidade': '', 'publico_alvo': '', 'elegibilidade': '', 'objetivo': '', 'escopo': '', 'itens_financiaveis': [], 'itens_nao_financiaveis': [], 'valor_total': '', 'valor_por_projeto': '', 'contrapartida': '', 'prazo_execucao': '', 'cronograma': [], 'documentos': [{'nome': 'Find Topics and Solicitations', 'url': 'https://www.sbir.gov/topics'}, {'nome': 'View Official Solicitation', 'url': 'https://www.nasa.gov/sbir_sttr/phase-i/'}], 'pdf_url': '', 'pdf_texto_extraido': '', 'pdf_resumo': '', 'data_publicacao_original': '', 'fim_inscricao_original': '', 'prazo_submissao_original': '', 'metodo_extracao': 'html_listing_detail', 'url_listagem': 'https://www.sbir.gov/topics', 'url_detalhe': 'https://www.sbir.gov/topics/1012248', 'nivel_sensibilidade': 'publico_institucional', 'contexto_sensivel_detectado': False, 'marcadores_contexto_sensivel': [], 'origem': 'https://www.sbir.gov/topics/1012248', 'palavras_chave_detectadas': ['sbir'], 'necessita_traducao': False, 'observacoes': 'Coleta via fallback HTML por limitação 429 na API.', 'tipo_recurso': 'fomento_investimento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False}"
Topic,"NOTE: The Solicitations and topics listed on this site are copies from the various SBIR agency solicitations and are not necessarily the latest and most up-to-date. For this reason, you should use the agency link listed below which will take you directly to the appropriate agency server where you can read the official version of this solicitation and download the appropriate forms and rules.",https://www.sbir.gov/topics/1012246,DoD SBIR/STTR,,,Em andamento,,base_industrial_defesa,programa_pdi,fomento_investimento,"{'regiao': '', 'setor_estrategico': 'defesa_industrial', 'subtema': ['pdi_defesa'], 'area_cientifica': [], 'area_tecnologica': ['pdi_defesa'], 'tipo_oportunidade': 'programa_pdi', 'empresa_prime': '', 'orgao_contratante': 'DoD SBIR/STTR', 'pais': 'US', 'idioma_original': '', 'titulo_original': '', 'descricao_original': '', 'titulo_traduzido': '', 'descricao_traduzida': '', 'orgao_responsavel': '', 'instituicao': '', 'numero_edital': '', 'numero_chamada': '', 'numero_processo': '', 'codigo_oportunidade': '', 'modalidade': '', 'publico_alvo': '', 'elegibilidade': '', 'objetivo': '', 'escopo': '', 'itens_financiaveis': [], 'itens_nao_financiaveis': [], 'valor_total': '', 'valor_por_projeto': '', 'contrapartida': '', 'prazo_execucao': '', 'cronograma': [], 'documentos': [{'nome': 'Find Topics and Solicitations', 'url': 'https://www.sbir.gov/topics'}, {'nome': 'View Official Solicitation', 'url': 'https://www.nasa.gov/sbir_sttr/phase-i/'}], 'pdf_url': '', 'pdf_texto_extraido': '', 'pdf_resumo': '', 'data_publicacao_original': '', 'fim_inscricao_original': '', 'prazo_submissao_original': '', 'metodo_extracao': 'html_listing_detail', 'url_listagem': 'https://www.sbir.gov/topics', 'url_detalhe': 'https://www.sbir.gov/topics/1012246', 'nivel_sensibilidade': 'publico_institucional', 'contexto_sensivel_detectado': False, 'marcadores_contexto_sensivel': [], 'origem': 'https://www.sbir.gov/topics/1012246', 'palavras_chave_detectadas': ['sbir'], 'necessita_traducao': False, 'observacoes': 'Coleta via fallback HTML por limitação 429 na API.', 'tipo_recurso': 'fomento_investimento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False}"
Topic,"NOTE: The Solicitations and topics listed on this site are copies from the various SBIR agency solicitations and are not necessarily the latest and most up-to-date. For this reason, you should use the agency link listed below which will take you directly to the appropriate agency server where you can read the official version of this solicitation and download the appropriate forms and rules.",https://www.sbir.gov/topics/1012232,DoD SBIR/STTR,,,Em andamento,,base_industrial_defesa,programa_pdi,fomento_investimento,"{'regiao': '', 'setor_estrategico': 'defesa_industrial', 'subtema': ['pdi_defesa'], 'area_cientifica': [], 'area_tecnologica': ['pdi_defesa'], 'tipo_oportunidade': 'programa_pdi', 'empresa_prime': '', 'orgao_contratante': 'DoD SBIR/STTR', 'pais': 'US', 'idioma_original': '', 'titulo_original': '', 'descricao_original': '', 'titulo_traduzido': '', 'descricao_traduzida': '', 'orgao_responsavel': '', 'instituicao': '', 'numero_edital': '', 'numero_chamada': '', 'numero_processo': '', 'codigo_oportunidade': '', 'modalidade': '', 'publico_alvo': '', 'elegibilidade': '', 'objetivo': '', 'escopo': '', 'itens_financiaveis': [], 'itens_nao_financiaveis': [], 'valor_total': '', 'valor_por_projeto': '', 'contrapartida': '', 'prazo_execucao': '', 'cronograma': [], 'documentos': [{'nome': 'Find Topics and Solicitations', 'url': 'https://www.sbir.gov/topics'}, {'nome': 'View Official Solicitation', 'url': 'https://www.nasa.gov/sbir_sttr/phase-i/'}], 'pdf_url': '', 'pdf_texto_extraido': '', 'pdf_resumo': '', 'data_publicacao_original': '', 'fim_inscricao_original': '', 'prazo_submissao_original': '', 'metodo_extracao': 'html_listing_detail', 'url_listagem': 'https://www.sbir.gov/topics', 'url_detalhe': 'https://www.sbir.gov/topics/1012232', 'nivel_sensibilidade': 'publico_institucional', 'contexto_sensivel_detectado': False, 'marcadores_contexto_sensivel': [], 'origem': 'https://www.sbir.gov/topics/1012232', 'palavras_chave_detectadas': ['sbir'], 'necessita_traducao': False, 'observacoes': 'Coleta via fallback HTML por limitação 429 na API.', 'tipo_recurso': 'fomento_investimento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False}"
Topic,"NOTE: The Solicitations and topics listed on this site are copies from the various SBIR agency solicitations and are not necessarily the latest and most up-to-date. For this reason, you should use the agency link listed below which will take you directly to the appropriate agency server where you can read the official version of this solicitation and download the appropriate forms and rules.",https://www.sbir.gov/topics/1012228,DoD SBIR/STTR,,,Em andamento,,base_industrial_defesa,programa_pdi,fomento_investimento,"{'regiao': '', 'setor_estrategico': 'defesa_industrial', 'subtema': ['pdi_defesa'], 'area_cientifica': [], 'area_tecnologica': ['pdi_defesa'], 'tipo_oportunidade': 'programa_pdi', 'empresa_prime': '', 'orgao_contratante': 'DoD SBIR/STTR', 'pais': 'US', 'idioma_original': '', 'titulo_original': '', 'descricao_original': '', 'titulo_traduzido': '', 'descricao_traduzida': '', 'orgao_responsavel': '', 'instituicao': '', 'numero_edital': '', 'numero_chamada': '', 'numero_processo': '', 'codigo_oportunidade': '', 'modalidade': '', 'publico_alvo': '', 'elegibilidade': '', 'objetivo': '', 'escopo': '', 'itens_financiaveis': [], 'itens_nao_financiaveis': [], 'valor_total': '', 'valor_por_projeto': '', 'contrapartida': '', 'prazo_execucao': '', 'cronograma': [], 'documentos': [{'nome': 'Find Topics and Solicitations', 'url': 'https://www.sbir.gov/topics'}, {'nome': 'View Official Solicitation', 'url': 'https://www.nasa.gov/sbir_sttr/phase-i/'}], 'pdf_url': '', 'pdf_texto_extraido': '', 'pdf_resumo': '', 'data_publicacao_original': '', 'fim_inscricao_original': '', 'prazo_submissao_original': '', 'metodo_extracao': 'html_listing_detail', 'url_listagem': 'https://www.sbir.gov/topics', 'url_detalhe': 'https://www.sbir.gov/topics/1012228', 'nivel_sensibilidade': 'publico_institucional', 'contexto_sensivel_detectado': False, 'marcadores_contexto_sensivel': [], 'origem': 'https://www.sbir.gov/topics/1012228', 'palavras_chave_detectadas': ['sbir'], 'necessita_traducao': False, 'observacoes': 'Coleta via fallback HTML por limitação 429 na API.', 'tipo_recurso': 'fomento_investimento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False}"
Topic,"NOTE: The Solicitations and topics listed on this site are copies from the various SBIR agency solicitations and are not necessarily the latest and most up-to-date. For this reason, you should use the agency link listed below which will take you directly to the appropriate agency server where you can read the official version of this solicitation and download the appropriate forms and rules.",https://www.sbir.gov/topics/1012279,DoD SBIR/STTR,,,Em andamento,,base_industrial_defesa,programa_pdi,fomento_investimento,"{'regiao': '', 'setor_estrategico': 'defesa_industrial', 'subtema': ['pdi_defesa'], 'area_cientifica': [], 'area_tecnologica': ['pdi_defesa'], 'tipo_oportunidade': 'programa_pdi', 'empresa_prime': '', 'orgao_contratante': 'DoD SBIR/STTR', 'pais': 'US', 'idioma_original': '', 'titulo_original': '', 'descricao_original': '', 'titulo_traduzido': '', 'descricao_traduzida': '', 'orgao_responsavel': '', 'instituicao': '', 'numero_edital': '', 'numero_chamada': '', 'numero_processo': '', 'codigo_oportunidade': '', 'modalidade': '', 'publico_alvo': '', 'elegibilidade': '', 'objetivo': '', 'escopo': '', 'itens_financiaveis': [], 'itens_nao_financiaveis': [], 'valor_total': '', 'valor_por_projeto': '', 'contrapartida': '', 'prazo_execucao': '', 'cronograma': [], 'documentos': [{'nome': 'Find Topics and Solicitations', 'url': 'https://www.sbir.gov/topics'}, {'nome': 'View Official Solicitation', 'url': 'https://www.nasa.gov/sbir_sttr/phase-i/'}], 'pdf_url': '', 'pdf_texto_extraido': '', 'pdf_resumo': '', 'data_publicacao_original': '', 'fim_inscricao_original': '', 'prazo_submissao_original': '', 'metodo_extracao': 'html_listing_detail', 'url_listagem': 'https://www.sbir.gov/topics', 'url_detalhe': 'https://www.sbir.gov/topics/1012279', 'nivel_sensibilidade': 'publico_institucional', 'contexto_sensivel_detectado': False, 'marcadores_contexto_sensivel': [], 'origem': 'https://www.sbir.gov/topics/1012279', 'palavras_chave_detectadas': ['sbir'], 'necessita_traducao': False, 'observacoes': 'Coleta via fallback HTML por limitação 429 na API.', 'tipo_recurso': 'fomento_investimento', 'natureza_recurso': 'nao_reembolsavel', 'reembolsavel': False}"
